Mês;T (°C) ;P (mm);ETP (mm);ARM (mm);ETR (mm);DEF (mm);EXC (mm);Cidade
 Out ;24,2;39;110;1;40;70;0;Senhor do Bonfim
 Nov ;25,1;54;121;1;55;66;0;Senhor do Bonfim
 Dez ;25,2;83;128;0;83;45;0;Senhor do Bonfim
Jan ;25,4;82;128;5;85;43;0;Serrinha
 Fev ;25,3;80;116;3;81;35;0;Serrinha
 Mar ;25,1;103;123;3;104;20;0;Serrinha
 Abr ;24,3;84;106;2;85;21;0;Serrinha
 Mai ;23,1;109;92;19;92;0;0;Serrinha
 Jun ;21,8;95;74;41;74;0;0;Serrinha
 Jul ;21;80;68;53;68;0;0;Serrinha
 Ago ;21,2;55;71;45;63;8;0;Serrinha
 Set ;22,3;38;82;29;54;28;0;Serrinha
 Out ;23,8;50;104;17;62;42;0;Serrinha
 Nov ;24,8;65;117;10;72;45;0;Serrinha
 Dez ;25,3;102;130;8;104;26;0;Serrinha
 Jan ;21,5;109;93;90;93;0;0;Vitória da Conquista
 Fev ;21,5;64;85;73;81;4;0;Vitória da Conquista
 Mar ;21,8;87;94;68;92;2;0;Vitória da Conquista
 Abr ;20,7;58;78;56;70;8;0;Vitória da Conquista
 Mai ;19,8;19;71;33;41;29;0;Vitória da Conquista
 Jun ;18;21;54;24;30;24;0;Vitória da Conquista
 Jul ;17,8;18;54;17;25;29;0;Vitória da Conquista
 Ago ;18,6;18;61;11;24;37;0;Vitória da Conquista
 Set ;19,5;30;68;7;33;34;0;Vitória da Conquista
 Out ;20,7;56;83;6;58;25;0;Vitória da Conquista
 Nov ;21,2;124;87;42;87;0;0;Vitória da Conquista
 Dez ;21,6;128;96;74;96;0;0;Vitória da Conquista
